trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.95, 'e': 0.7749999999999998}",25,0,-113.75609751198515,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.95, 'e': 0.7699999999999998}",20,0,-47.04843976790794,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.95, 'e': 0.7649999999999998}",20,0,-187.10614949045168,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
48,False,"{'a': 0.95, 'e': 0.7599999999999998}",25,12,11.496489496394254,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.7549999999999998}",20,0,-36.188758498064374,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.95, 'e': 0.7499999999999998}",30,15,-36.19164331532002,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.7449999999999998}",20,9,-91.25775589217335,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 1}",1
52,False,"{'a': 0.95, 'e': 0.7399999999999998}",25,0,-102.28307736545365,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.95, 'e': 0.7349999999999998}",20,0,-17.056557567342207,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
54,False,"{'a': 0.95, 'e': 0.7299999999999998}",30,6,-28.87311739745339,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.7249999999999998}",25,5,-134.2623318894543,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",1
56,False,"{'a': 0.95, 'e': 0.7199999999999998}",25,1,-182.97372534629073,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 3}",1
57,False,"{'a': 0.95, 'e': 0.7149999999999997}",30,0,-151.89295263231787,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
58,False,"{'a': 0.95, 'e': 0.7099999999999997}",30,0,-31.30963739610671,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.95, 'e': 0.7049999999999997}",25,0,-166.32444757253927,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
60,False,"{'a': 0.95, 'e': 0.6999999999999997}",20,0,-21.559379286651758,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.95, 'e': 0.6949999999999997}",25,0,-235.7556784774353,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 6}",0
62,False,"{'a': 0.95, 'e': 0.6899999999999997}",25,0,-139.1638442638682,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
63,False,"{'a': 0.95, 'e': 0.6849999999999997}",25,0,-41.27166732968987,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.95, 'e': 0.6799999999999997}",35,5,-66.32274090637469,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",1
65,False,"{'a': 0.95, 'e': 0.6749999999999997}",20,0,-34.89115646226459,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.95, 'e': 0.6699999999999997}",30,6,-17.967297482089027,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.95, 'e': 0.6649999999999997}",30,8,-64.70203174701656,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.95, 'e': 0.6599999999999997}",20,0,-48.007585477117324,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.95, 'e': 0.6549999999999997}",35,16,-49.93138493137775,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.95, 'e': 0.6499999999999997}",20,10,-14.659890825306181,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.95, 'e': 0.6449999999999997}",20,10,-6.66795766604272,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.6399999999999997}",20,0,-160.86411145014665,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
73,False,"{'a': 0.95, 'e': 0.6349999999999997}",20,0,-65.26065020396808,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.95, 'e': 0.6299999999999997}",20,0,-32.493967338008964,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.95, 'e': 0.6249999999999997}",25,18,2.9970381721323323,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.95, 'e': 0.6199999999999997}",30,0,-44.141792010170235,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.95, 'e': 0.6149999999999997}",25,0,-68.42378835333824,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
78,False,"{'a': 0.95, 'e': 0.6099999999999997}",25,0,-23.641018423374412,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
79,False,"{'a': 0.95, 'e': 0.6049999999999996}",30,14,-65.87978412988198,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.95, 'e': 0.5999999999999996}",20,0,-163.93781311028556,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
81,False,"{'a': 0.95, 'e': 0.5949999999999996}",25,0,-62.11560582610193,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.95, 'e': 0.5899999999999996}",20,0,-90.01922116381499,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",1
83,False,"{'a': 0.95, 'e': 0.5849999999999996}",25,5,-54.19242951315755,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
84,False,"{'a': 0.95, 'e': 0.5799999999999996}",30,0,-38.68820914137275,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
85,False,"{'a': 0.95, 'e': 0.5749999999999996}",35,10,0.0798323909542864,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.95, 'e': 0.5699999999999996}",20,0,-63.468532425751164,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.95, 'e': 0.5649999999999996}",25,16,-24.710536651287562,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.95, 'e': 0.5599999999999996}",25,6,-61.38029565830608,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
89,False,"{'a': 0.95, 'e': 0.5549999999999996}",30,0,-237.73552619381584,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 5}",0
90,False,"{'a': 0.95, 'e': 0.5499999999999996}",30,0,-53.945880228721826,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.95, 'e': 0.5449999999999996}",20,9,-20.05578100555581,"{0: 7, 1: 3, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.95, 'e': 0.5399999999999996}",30,0,-63.98422040330083,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
93,False,"{'a': 0.95, 'e': 0.5349999999999996}",35,0,-112.92478996005477,"{0: 27, 1: 1, 2: 4, 3: 1, 4: 2}",0
94,False,"{'a': 0.95, 'e': 0.5299999999999996}",25,15,-5.3525914462854605,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.95, 'e': 0.5249999999999996}",25,0,-65.8489192318355,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
96,False,"{'a': 0.95, 'e': 0.5199999999999996}",30,12,-42.24987798337926,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.95, 'e': 0.5149999999999996}",20,0,-128.26994203636573,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
98,False,"{'a': 0.95, 'e': 0.5099999999999996}",20,0,-8.58252829474385,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
99,False,"{'a': 0.95, 'e': 0.5049999999999996}",20,0,12.049174175276978,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.95, 'e': 0.49999999999999956}",20,7,-3.0094681114080073,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.95, 'e': 0.49499999999999955}",30,0,-40.1889344860639,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
102,False,"{'a': 0.95, 'e': 0.48999999999999955}",30,14,3.5004506574740137,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.95, 'e': 0.48499999999999954}",35,0,-115.02047197677882,"{0: 26, 1: 3, 2: 2, 3: 2, 4: 2}",0
104,False,"{'a': 0.95, 'e': 0.47999999999999954}",20,8,-22.02746388307911,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.95, 'e': 0.47499999999999953}",20,4,11.430822372224032,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.95, 'e': 0.46999999999999953}",25,20,9.09285175398545,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
