trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.95, 'e': 0.25999999999999934}",30,14,-44.913702146938924,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
149,False,"{'a': 0.95, 'e': 0.25499999999999934}",25,0,-37.43288762519393,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
150,False,"{'a': 0.95, 'e': 0.24999999999999933}",25,13,24.361755923756625,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.95, 'e': 0.24499999999999933}",25,10,15.525164627112535,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.95, 'e': 0.23999999999999932}",20,5,-48.39076985828627,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
153,False,"{'a': 0.95, 'e': 0.23499999999999932}",25,10,23.915750229497267,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.95, 'e': 0.22999999999999932}",25,8,-6.418699002382489,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.95, 'e': 0.2249999999999993}",30,14,15.10036696632827,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.95, 'e': 0.2199999999999993}",25,15,4.149783281460106,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.95, 'e': 0.2149999999999993}",35,0,18.176237149254074,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",0
158,False,"{'a': 0.95, 'e': 0.2099999999999993}",30,13,13.518824801334084,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.95, 'e': 0.2049999999999993}",20,11,-12.528985115192697,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.95, 'e': 0.1999999999999993}",20,12,13.505497169381059,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.95, 'e': 0.19499999999999929}",35,11,-55.99514358810632,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 2}",1
162,False,"{'a': 0.95, 'e': 0.18999999999999928}",20,13,7.837701227912158,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.95, 'e': 0.18499999999999928}",25,12,2.391244567597451,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.95, 'e': 0.17999999999999927}",20,12,-6.948971248786901,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.95, 'e': 0.17499999999999927}",20,1,10.034970776021863,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.95, 'e': 0.16999999999999926}",20,0,29.28559251172406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.95, 'e': 0.16499999999999926}",25,3,-16.419408035875893,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
168,False,"{'a': 0.95, 'e': 0.15999999999999925}",20,9,18.292599497053764,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.95, 'e': 0.15499999999999925}",25,1,-1.853416691284984,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.95, 'e': 0.14999999999999925}",25,6,-65.05155879123708,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
171,False,"{'a': 0.95, 'e': 0.14499999999999924}",20,12,14.660136449839428,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.95, 'e': 0.13999999999999924}",25,15,-24.796645662916884,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.95, 'e': 0.13499999999999923}",25,17,16.841226944498175,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.95, 'e': 0.12999999999999923}",20,13,2.0225402194390307,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.95, 'e': 0.12499999999999922}",20,3,8.114525932986117,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.95, 'e': 0.11999999999999922}",30,19,11.45290950528289,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.95, 'e': 0.11499999999999921}",30,12,8.269000179683907,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.95, 'e': 0.10999999999999921}",20,9,-24.63101995183405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.95, 'e': 0.1049999999999992}",20,12,13.220777216416097,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.95, 'e': 0.0999999999999992}",20,4,25.360860966645436,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.95, 'e': 0.0949999999999992}",25,18,13.093154575767254,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.95, 'e': 0.08999999999999919}",20,16,8.608018938436555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.95, 'e': 0.08499999999999919}",20,12,14.336540652051863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.95, 'e': 0.07999999999999918}",25,0,29.147204553321174,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
185,False,"{'a': 0.95, 'e': 0.07499999999999918}",20,16,6.287118122787649,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.95, 'e': 0.06999999999999917}",25,11,27.205531725878625,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.95, 'e': 0.06499999999999917}",20,15,-13.777460699393815,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
188,False,"{'a': 0.95, 'e': 0.05999999999999917}",25,18,12.73180113888213,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.95, 'e': 0.054999999999999175}",25,0,43.43229543633754,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.95, 'e': 0.04999999999999918}",25,4,29.923651307675623,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.95, 'e': 0.04499999999999918}",25,7,25.741082947321445,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.95, 'e': 0.03999999999999918}",20,14,-1.5929427672712577,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.95, 'e': 0.034999999999999185}",20,14,11.996546575164603,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.95, 'e': 0.029999999999999184}",20,12,15.495818010004838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.95, 'e': 0.024999999999999183}",20,9,13.602716787996183,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.95, 'e': 0.01999999999999918}",20,14,10.646025364702473,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.95, 'e': 0.01499999999999918}",20,12,14.690457288284598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.95, 'e': 0.00999999999999918}",30,18,24.41744697484013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.95, 'e': 0.00499999999999918}",20,9,23.528815733432253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.95, 'e': -8.205242041370298e-16}",20,7,24.744646985907156,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,14,27.598590930464105,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,19.039385094441045,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,12.857119197447107,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,2,29.10730053253413,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,10.638508222397448,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,16,27.063814797902953,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,6.625091664537131,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,17.51992649693507,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,8,27.385686683092096,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,15.306936845970464,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,11,22.230029065970133,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",35,20,30.48926995861308,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,5,31.93278435148791,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,16,28.979056364433617,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,17,14.439602246885707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,12,17.0808663428839,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,6,25.483004272399427,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,15,15.760160915594405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,12,15.310263531259523,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,12,15.315369040742537,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",25,20,10.015610792907337,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",30,13,32.262427429847136,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,13,10.76424216967807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,14,19.989281389251563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",35,22,24.30338359944765,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,14,13.716195287365586,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",30,15,31.061916219433574,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,13,13.786012636257276,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,11,18.43625432197645,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",25,10,24.321280321255088,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",25,15,21.31008835278537,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,16,7.456772042581426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",20,10,18.239102708286776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",30,7,41.110272810853054,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",20,8,23.06714976963433,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",20,13,16.276811383476453,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",25,16,16.33081194459811,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",20,14,12.200934443251851,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",20,6,26.15840973290244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",25,16,21.401641108989576,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",20,3,32.700359615956096,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",25,7,31.43051379018356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",20,6,21.255628754761833,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",30,20,17.70771552716584,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",25,7,30.602612289538186,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",20,8,23.323183640720174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",35,22,25.76209528859534,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",20,5,25.17583801285886,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,14,10.635167333383736,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",25,13,27.204592897534795,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
