trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,True,"{'a': 0, 'e': 0}",30,4,-172.6469266866595,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 3}",1
27,True,"{'a': 0, 'e': 0}",25,8,-85.29913263935094,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 1}",1
28,True,"{'a': 0, 'e': 0}",30,0,-125.06527054729453,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
29,True,"{'a': 0, 'e': 0}",25,0,-110.32333790938631,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
30,True,"{'a': 0, 'e': 0}",20,0,-90.79183934290445,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
31,True,"{'a': 0, 'e': 0}",20,0,-93.10440051226357,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
32,True,"{'a': 0, 'e': 0}",25,0,-268.6034422062915,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 5}",0
33,True,"{'a': 0, 'e': 0}",20,0,-75.70261588231817,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
34,True,"{'a': 0, 'e': 0}",25,0,-69.08566953504919,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
35,True,"{'a': 0, 'e': 0}",35,0,-184.59920741660736,"{0: 16, 1: 8, 2: 8, 3: 2, 4: 1}",0
36,True,"{'a': 0, 'e': 0}",20,0,-129.89548291006096,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
37,True,"{'a': 0, 'e': 0}",20,0,-67.88314356901384,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
38,True,"{'a': 0, 'e': 0}",25,0,-86.34900144632168,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
39,True,"{'a': 0, 'e': 0}",20,0,-47.811795463136946,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
40,True,"{'a': 0, 'e': 0}",20,0,-65.46654027448903,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
41,True,"{'a': 0, 'e': 0}",20,0,-97.34453177781664,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
42,True,"{'a': 0, 'e': 0}",25,0,-145.2420839018422,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
43,True,"{'a': 0, 'e': 0}",20,0,-93.80021814576138,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
44,True,"{'a': 0, 'e': 0}",25,0,-118.005823266434,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
45,True,"{'a': 0, 'e': 0}",30,0,-206.67773716079955,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
46,True,"{'a': 0, 'e': 0}",20,0,-140.0373469462047,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
47,True,"{'a': 0, 'e': 0}",20,0,-111.07823598562325,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
48,True,"{'a': 0, 'e': 0}",20,0,-84.237526019414,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
49,True,"{'a': 0, 'e': 0}",20,0,-92.8375231205773,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
50,True,"{'a': 0, 'e': 0}",30,0,-105.13453286691278,"{0: 17, 1: 7, 2: 5, 3: 0, 4: 1}",0
